,colors,description,name,price
357,**No Colors Found**,"Cleansing, Disinfecting, Conditions Brushes",Brush Cleanser,$15.00
358,**No Colors Found**,"For All Formulas, Rounded Shape, Shades Face",Oval 6 Brush,$42.00
359,**No Colors Found**,"For Liquids/Creams, Tapered Tip, Sculpts Lips",316 Lip Brush,$20.00
360,**No Colors Found**,"For Liquids/Creams, Sculpts Lips, Retractable",318 Retractable Lip Brush,$25.00
361,**No Colors Found**,"Cleansing, Disinfecting, Conditions Brushes",Brush Cleanser,$15.00
362,**No Colors Found**,"Classic, Sea-Inspired, Gel-Based Body Wash",Turquatic Body Wash,$35.00
363,**No Colors Found**,"Classic, Sea-Inspired, Hydrating Cream",Turquatic Hand and Body Cream,$35.00
364,**No Colors Found**,"Classic, Sea-Inspired, Crisp Scent",Turquatic 20ML,$30.00
365,**No Colors Found**,"Classic, Sea-Inspired, Larger Size",Turquatic 50ML,$49.50
366,**No Colors Found**,"Classic, Sea-Inspired, Portable Bottle",Turquatic Rollerball,$22.00
